model,roc_auc,average_precision,precision_at_top_5pct,recall_at_top_5pct
node2vec_random_forest,0.9924899699693983,0.9094005813888514,0.5405405405405406,0.8791208791208791
graph_random_forest,0.9922139359125067,0.8979150357764282,0.675,0.8901098901098901
graph_logistic,0.9871073058600127,0.8715945560413328,0.6333333333333333,0.8351648351648352
node2vec_logistic,0.9784217514836829,0.8085725595460773,0.5916666666666667,0.7802197802197802
tabular_logistic,0.9510277509411333,0.6911330066008481,0.5583333333333333,0.7362637362637363
